@RELATION RapidMinerData

@ATTRIBUTE 'Date' DATE "yyyy.MM.dd HH:mm:ss Z"
@ATTRIBUTE 'HomeTeam' {'Aston Villa','Blackburn','Bolton','Chelsea','Everton','Portsmouth','Stoke','Wolves','Man United','Tottenham','Sunderland','Wigan','Birmingham','Burnley','Hull','Liverpool','Arsenal','Man City','Fulham','West Ham','Norwich','Swansea','West Brom','Crystal Palace','Newcastle','Southampton','Cardiff','QPR','Reading','Blackpool','Derby','Middlesbrough','Sheffield United','Watford','Charlton'}
@ATTRIBUTE 'AwayTeam' {'Wigan','Man City','Sunderland','Hull','Arsenal','Fulham','Burnley','West Ham','Birmingham','Liverpool','Chelsea','Wolves','Portsmouth','Man United','Tottenham','Stoke','Bolton','Blackburn','Everton','Aston Villa','Southampton','Cardiff','Newcastle','West Brom','Norwich','Crystal Palace','Swansea','Reading','QPR','Blackpool','Derby','Middlesbrough','Watford','Charlton','Sheffield United'}
@ATTRIBUTE 'FTHG' real
@ATTRIBUTE 'FTAG' real
@ATTRIBUTE 'FTR' {'A','H','D'}

@DATA
"2006.01.14 00:00:00 +0100",'Man City','Man United',3.0,1.0,'H'
"2006.01.14 00:00:00 +0100",'Portsmouth','Everton',0.0,1.0,'A'
"2006.01.15 00:00:00 +0100",'Sunderland','Chelsea',1.0,2.0,'A'
"2006.01.15 00:00:00 +0100",'Wigan','West Brom',0.0,1.0,'A'
"2006.01.21 00:00:00 +0100",'Birmingham','Portsmouth',5.0,0.0,'H'
"2006.01.21 00:00:00 +0100",'Bolton','Man City',2.0,0.0,'H'
"2006.01.21 00:00:00 +0100",'Everton','Arsenal',1.0,0.0,'H'
"2006.01.21 00:00:00 +0100",'Middlesbrough','Wigan',2.0,3.0,'A'
"2006.01.21 00:00:00 +0100",'Newcastle','Blackburn',0.0,1.0,'A'
"2006.01.21 00:00:00 +0100",'Tottenham','Aston Villa',0.0,0.0,'D'
"2006.01.21 00:00:00 +0100",'West Brom','Sunderland',0.0,1.0,'A'
"2006.01.22 00:00:00 +0100",'Chelsea','Charlton',1.0,1.0,'D'
"2006.01.22 00:00:00 +0100",'Man United','Liverpool',1.0,0.0,'H'
"2006.01.23 00:00:00 +0100",'West Ham','Fulham',2.0,1.0,'H'
"2006.01.31 00:00:00 +0100",'Charlton','West Brom',0.0,0.0,'D'
"2006.01.31 00:00:00 +0100",'Fulham','Tottenham',1.0,0.0,'H'
"2006.01.31 00:00:00 +0100",'Sunderland','Middlesbrough',0.0,3.0,'A'
"2006.01.31 00:00:00 +0100",'Wigan','Everton',1.0,1.0,'D'
"2006.02.01 00:00:00 +0100",'Arsenal','West Ham',2.0,3.0,'A'
"2006.02.01 00:00:00 +0100",'Aston Villa','Chelsea',1.0,1.0,'D'
"2006.02.01 00:00:00 +0100",'Blackburn','Man United',4.0,3.0,'H'
"2006.02.01 00:00:00 +0100",'Liverpool','Birmingham',1.0,1.0,'D'
"2006.02.01 00:00:00 +0100",'Man City','Newcastle',3.0,0.0,'H'
"2006.02.01 00:00:00 +0100",'Portsmouth','Bolton',1.0,1.0,'D'
"2006.02.04 00:00:00 +0100",'Birmingham','Arsenal',0.0,2.0,'A'
"2006.02.04 00:00:00 +0100",'Bolton','Wigan',1.0,1.0,'D'
"2006.02.04 00:00:00 +0100",'Everton','Man City',1.0,0.0,'H'
"2006.02.04 00:00:00 +0100",'Man United','Fulham',4.0,2.0,'H'
"2006.02.04 00:00:00 +0100",'Middlesbrough','Aston Villa',0.0,4.0,'A'
"2006.02.04 00:00:00 +0100",'Newcastle','Portsmouth',2.0,0.0,'H'
"2006.02.04 00:00:00 +0100",'West Brom','Blackburn',2.0,0.0,'H'
"2006.02.04 00:00:00 +0100",'West Ham','Sunderland',2.0,0.0,'H'
"2006.02.05 00:00:00 +0100",'Chelsea','Liverpool',2.0,0.0,'H'
"2006.02.05 00:00:00 +0100",'Tottenham','Charlton',3.0,1.0,'H'
"2006.02.08 00:00:00 +0100",'Charlton','Liverpool',2.0,0.0,'H'
"2006.02.11 00:00:00 +0100",'Arsenal','Bolton',1.0,1.0,'D'
"2006.02.11 00:00:00 +0100",'Aston Villa','Newcastle',1.0,2.0,'A'
"2006.02.11 00:00:00 +0100",'Everton','Blackburn',1.0,0.0,'H'
"2006.02.11 00:00:00 +0100",'Fulham','West Brom',6.0,1.0,'H'
"2006.02.11 00:00:00 +0100",'Middlesbrough','Chelsea',3.0,0.0,'H'
"2006.02.11 00:00:00 +0100",'Portsmouth','Man United',1.0,3.0,'A'
"2006.02.11 00:00:00 +0100",'Wigan','Liverpool',0.0,1.0,'A'
"2006.02.12 00:00:00 +0100",'Man City','Charlton',3.0,2.0,'H'
"2006.02.12 00:00:00 +0100",'Sunderland','Tottenham',1.0,1.0,'D'
"2006.02.13 00:00:00 +0100",'West Ham','Birmingham',3.0,0.0,'H'
"2006.02.14 00:00:00 +0100",'Liverpool','Arsenal',1.0,0.0,'H'
"2006.02.15 00:00:00 +0100",'Blackburn','Sunderland',2.0,0.0,'H'
